Как звали воина, воина в Древней Руси?;Воин
Какое событие произошло на Руси в 988 году?;Крещение Руси
Какому князю мы обязаны появлением современного Кремля?;Иван III
Как звали главного бога славян?;Перун
Место, где живут люди, обнесенное забором.;Поселок
Лапти русских крестьян на онучах.;Лапти
Старая крестьянская верхняя одежда без пуговиц, которую по бедности подпоясывали поводком.;Армяк
Старый способ завоевания крепостей, городов (синоним слова "блокада").;Измор
В каком городе Древней Руси происходили народные собрания, которые назывались «вече»?; Новгород
На берегу какой реки был построен Новгород?;Волхов
С древнейших времен и до наших дней - представитель своей страны за рубежом.;Посол
Кому достались самые первые флаги?;У воинов
Как звали шведских и немецких рыцарей, потерпевших поражение от войск Александра Невского во время Ледового побоища?;Крестоносцы
Как звали первого хозяина земли, на которой стоит Москва?;Боярин Кучка
Какие два царя сейчас находятся в Московском Кремле?; Царь-пушка и Царь-колокол
Какой царь приказал казнить слона и за что?;Иван IV
Как называлась первая печатная книга на Руси?;Апостол
Какую землю открыл Ермак?;Сибирь
Кто основатель Москвы?;Юрий Долгорукий
Специалист, занимающийся изучением быта и культуры древних народов на основе сохранившихся памятников.;Археолог
